Label,slice,Saturated,J.D.-2400000,JD_UTC,JD_SOBS,HJD_UTC,BJD_TDB,ALT_OBJ,AIRMASS,CCD-TEMP,EXPTIME,RAOBJ2K,DECOBJ2K ,Source-Sky_T1,Source_Error_T1,Source_AMag_T1,Source_AMag_Err_T1,Peak_T1,Source-Sky_C2,Source_Error_C2,Source_AMag_C2,Source_AMag_Err_C2,Peak_C2,Source-Sky_C3,Source_Error_C3,Source_AMag_C3,Source_AMag_Err_C3,Peak_C3,Source-Sky_C4,Source_Error_C4,Source_AMag_C4,Source_AMag_Err_C4,Peak_C4,Source-Sky_C5,Source_Error_C5,Source_AMag_C5,Source_AMag_Err_C5,Peak_C5,Source-Sky_C6,Source_Error_C6,Source_AMag_C6,Source_AMag_Err_C6,Peak_C6,Source-Sky_C7,Source_Error_C7,Source_AMag_C7,Source_AMag_Err_C7,Peak_C7,Source-Sky_T8,Source_Error_T8,Source_AMag_T8,Source_AMag_Err_T8,Peak_T8,Source-Sky_T9,Source_Error_T9,Source_AMag_T9,Source_AMag_Err_T9,Peak_T9,Source-Sky_T10,Source_Error_T10,Source_AMag_T10,Source_AMag_Err_T10,Peak_T10,Source-Sky_T11,Source_Error_T11,Source_AMag_T11,Source_AMag_Err_T11,Peak_T11
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-193419-V-BIN1-E-060-001.fit,1,64233.7109375,60082.8992404975,2460082.8992404975,NaN,NaN,0,NaN,1.49258627545,-35,60,NaN,NaN,964391.768765155,901.412393094659,10.5750344593254,0.0011730328585813,63658.7109375,675541.6872304309,759.4314391750258,11.04,0.0012198789558737,60757.59765625,402663.62264271075,594.9026406854509,11.83,0.0016029028468217,38672.30859375,506861.79372841766,662.1334085164256,11.06,0.0014174141085004,44473.52734375,497529.7092053053,657.393505775481,11.08,0.0014336526714388,42750.58984375,384533.712805106,582.1967184045961,11.85,0.0016425972486472,32304.244140625,475441.4490765963,642.7144848094946,11.31,0.0014667361179489,40910.23828125,979251.7751940468,908.9454507448577,10.558432277918605,0.00116695083378,64233.7109375,135879.21825089506,369.32512905994156,12.702785597714666,0.0030052303456893,12588.2705078125,403052.54740770685,595.2300427895906,11.522264020791823,0.0017070386875688,33064.43359375,106277.15463567815,333.9433155262555,12.969568400442476,0.0034566546529967,9138.2412109375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-193535-V-BIN1-E-060-002.fit,2,64839.23046875,60082.90011447901,2460082.900114479,NaN,NaN,0,NaN,1.48746700917,-35,60,NaN,NaN,931323.5813988374,886.2332968693786,10.613281258648739,0.0011887831216121,63658.7109375,672790.331665416,757.6501435350991,11.04,0.0012219934172262,64839.23046875,403470.2375948949,595.5018291675457,11.83,0.0016013107317249,40766.53515625,508343.0926329768,663.222619909845,11.06,0.0014156098321356,45374.796875,499022.8671507788,657.6662340105818,11.08,0.0014299583715151,54302.90234375,384688.3963977954,582.0956685116449,11.85,0.0016416524877155,41477.90234375,475245.25124190346,642.5969100320766,11.31,0.001467072982501,42335.16796875,955013.0128720087,897.6293787398857,10.58600953441007,0.0011778044949325,64233.7109375,136971.89402159222,371.1223862619313,12.694454104695737,0.0029960916228078,14091.552734375,405410.399388853,597.0191130253014,11.516295545535291,0.0017027040308527,35601.35546875,106635.75748197577,334.67731510776537,12.966275611845816,0.0034526837108671,11136.37109375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-193649-V-BIN1-E-060-003.fit,3,63943.51171875,60082.90097187506,2460082.900971875,NaN,NaN,0,NaN,1.48249413744,-35,60,NaN,NaN,927707.9466870931,884.6198504542514,10.616601546670825,0.0011908508458141,63943.51171875,675963.1675718112,759.7693319708546,11.04,0.001219660873285,60260.8203125,400943.10373028857,593.345274020174,11.83,0.0016055650542814,37741.25390625,506516.1551623021,662.3810803431381,11.06,0.0014189108983778,45122.30078125,494671.60583842493,654.8611466381586,11.08,0.0014363796843917,45416.1875,386931.35338605195,584.6252770429215,11.85,0.0016392307747935,38330.67578125,476087.61671891937,643.1097350856563,11.31,0.0014656469075145,40699.77734375,946040.4299776102,893.6859074024094,10.595355496540101,0.0011824781344166,63249.34765625,136165.7794386992,369.96034084532766,12.699959797588278,0.0030041448696329,13331.8330078125,402902.04694745044,594.7837783478852,11.522131053973963,0.0017065344145973,37281.15625,107432.57576930427,335.4510549486707,12.957289767644138,0.003435613729226,10289.06640625
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-193804-V-BIN1-E-060-004.fit,4,64053.24609375,60082.90183693264,2460082.9018369326,NaN,NaN,0,NaN,1.477526208,-35,60,NaN,NaN,935872.422528539,888.1893301640021,10.609648591007597,0.0011862175743655,64053.24609375,679570.9121208093,761.8679306973553,11.04,0.0012165386224119,59949.875,404207.9734092263,595.992575426366,11.83,0.0015997065122531,38225.82421875,507776.96175689175,663.3071155765311,11.06,0.0014173675289587,48153.07421875,495943.2680410035,655.6828650480952,11.08,0.001434495612159,44017.1328125,386366.3903148949,582.9673767933273,11.85,0.0016369740528622,32710.240234375,474191.67032215884,641.9505456542971,11.31,0.0014688524359805,43551.34375,961246.8945946938,900.8198520510723,10.580602841694244,0.0011750180865746,63249.34765625,136314.09778781983,369.67700550868204,12.701338282446962,0.0029986452974939,13007.9755859375,403541.52795158036,595.4658976867962,11.522969630999738,0.0017056026076595,37490.67578125,107398.04104440947,336.9165110223738,12.960199316536833,0.0034511010577887,9666.0009765625
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-193917-V-BIN1-E-060-005.fit,5,62353.00390625,60082.90268553235,2460082.9026855323,NaN,NaN,0,NaN,1.47270494079,-35,60,NaN,NaN,946832.2661971486,893.4968496408424,10.592941628360522,0.0011818380233177,62353.00390625,675330.2327469744,759.4962404706345,11.04,0.0012203647656857,51443.98046875,400681.69539821893,594.0443294753054,11.83,0.0016085032084213,30765.44921875,506161.0450628963,662.0623280162812,11.06,0.0014192228771674,36980.87109375,494185.52763705933,654.7755725027566,11.08,0.0014376038051765,38002.515625,385671.18836999213,583.2610332362327,11.85,0.0016407480465372,29504.96875,475007.97892771306,642.855128743652,11.31,0.0014683947269969,36114.8671875,978722.3694041425,909.4898229401076,10.556975465542985,0.0011683250721354,62296.234375,136116.7362274448,369.26607366115576,12.698845434041703,0.0029998830494422,10929.4912109375,402772.1019794167,595.1709766339773,11.520975798145471,0.0017081977224139,29871.02734375,106665.54922118675,334.9822467512278,12.963563817193307,0.0034549693953942,8592.25
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194032-V-BIN1-E-060-001.fit,6,66394.234375,60082.90354908584,2460082.903549086,NaN,NaN,0,NaN,1.46784300617,-35,60,NaN,NaN,923313.5099464293,882.730002865286,10.624786142620337,0.0011927035945473,63974.5390625,678615.2275291049,761.0620792028101,11.04,0.0012169630362809,66394.234375,402245.7289333677,594.2369113831754,11.83,0.0016027725998416,38407.60546875,509145.1854224557,664.2673042566122,11.06,0.0014156060280529,46800.58984375,494994.8989960214,655.4507872608611,11.08,0.0014367337952484,50006.02734375,387424.3958020691,583.566047078427,11.85,0.0016341822688822,36766.48046875,476905.20560510666,643.4778192901255,11.31,0.001463972810511,43145.30078125,951018.3648264069,896.2295927800047,10.592686859289877,0.001179843174078,63249.34765625,136238.0796818419,369.5313825339209,12.702412834453185,0.0029990744109618,15192.2021484375,403781.5997283221,596.1315536074704,11.522792807359899,0.0017063122495487,37165.61328125,107588.49262821535,335.7570701083021,12.958744561005403,0.0034336498400159,9863.080078125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194146-V-BIN1-E-060-002.fit,7,63565.3515625,60082.904413310345,2460082.9044133103,NaN,NaN,0,NaN,1.46302424778,-35,60,NaN,NaN,952115.9055970253,895.5996806321749,10.59305839310101,0.0011780061355069,63565.3515625,681580.4904488679,762.8236382964528,11.04,0.0012144744824394,51534.203125,401425.4579088334,593.8771026304644,11.83,0.0016050735398747,30940.5625,507434.40438636567,662.5121591545197,11.06,0.0014166250208274,35340.60546875,497193.26028067304,657.047962562835,11.08,0.0014338686012691,36161.16796875,388174.5440773032,584.3977486919647,11.85,0.0016333493790903,28923.96484375,477936.80080099753,644.4659277086578,11.31,0.0014630567264329,33345.46875,995294.0738499364,915.8242413402218,10.54490439840441,0.001158806130145,62296.234375,136660.6012306029,370.4382679066987,12.700674626326943,0.0029971401928042,10215.4267578125,406105.9755286513,597.3329672654405,11.518184494346013,0.0017005907759229,29187.416015625,107673.36561415973,336.36073730862483,12.959512223236686,0.0034369387513119,8465.27734375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194301-V-BIN1-E-060-003.fit,8,65539.546875,60082.905274317134,2460082.905274317,NaN,NaN,0,NaN,1.45827421527,-35,60,NaN,NaN,907225.1537067796,874.808964611539,10.647863587411221,0.0012001897687068,64580.68359375,673812.6387227259,759.0290765487604,11.04,0.0012223598746046,65539.546875,402799.9352033421,594.9446901954875,11.83,0.0016024739805776,46984.5078125,512404.74146859336,665.974686645363,11.06,0.0014102198643994,52549.4453125,500349.90562209865,659.11219892688,11.08,0.0014293018496503,56271.234375,389680.4621957074,587.431260091848,11.85,0.0016354813824933,44568.8984375,481147.4047453718,646.9855191340848,11.31,0.0014589785414263,46576.33984375,941746.6658178847,892.6034342953246,10.607316066572306,0.0011846660692936,63633.39453125,137643.1076457668,371.4736929968397,12.695265121376096,0.0029845493513778,14596.4267578125,412340.0714358541,601.6633233313826,11.504012440226722,0.001688595674018,43758.00390625,107705.28274271547,336.4549041832053,12.961558781919738,0.0034368530946318,12774.181640625
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194415-V-BIN1-E-060-004.fit,9,64350.7265625,60082.90612765029,2460082.9061276503,NaN,NaN,0,NaN,1.45360845865,-35,60,NaN,NaN,914824.4257438334,878.4566812366637,10.608099327044355,0.0012004861014237,63565.3515625,659816.4800385709,751.1892739115591,11.04,0.0012353881704897,47677.859375,391403.48486145027,586.5464371441192,11.83,0.0016258363349797,28146.888671875,496442.79334126075,655.5057386880526,11.06,0.0014326662915427,37141.59765625,484671.5710241073,649.2474249459715,11.08,0.0014534372599787,34506.76953125,380362.5531489297,578.693073617318,11.85,0.0016506108152903,28837.318359375,464948.6608263971,636.368584226906,11.31,0.0014850155914335,34339.79296875,971166.2564144019,904.9035045546415,10.54320974572769,0.0011737797161796,64350.7265625,133520.20455057427,365.7629746462872,12.69757623383594,0.0030292414243107,10513.1611328125,395438.74817251426,590.3202709041718,11.51874564978599,0.0017257161286013,30910.107421875,104800.41675314322,332.6828972133061,12.960536182137833,0.0034922201098002,7902.62109375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194529-V-BIN1-E-060-005.fit,10,65500.0078125,60082.9069853127,2460082.9069853127,NaN,NaN,0,NaN,1.44896705988,-35,60,NaN,NaN,896884.9295117306,869.7265932103094,10.665609163865076,0.0012042926271969,64005.75390625,673619.8195775395,758.3330340962998,11.04,0.0012215889552153,65500.0078125,405826.2023206983,597.0204971936693,11.83,0.0015960784100472,45021.625,515513.17609198426,667.3626818446209,11.06,0.0014046415442965,58804.11328125,502285.740983635,659.6052930745118,11.08,0.0014248613267154,50245.83984375,392945.3848990211,587.9653798735842,11.85,0.0016233761714023,42108.81640625,484489.3631185351,648.207855266096,11.31,0.0014516569554088,51719.72265625,940510.2492933086,891.6265927768457,10.614042148585389,0.001183788937919,64350.7265625,138292.49762473817,372.89551354765905,12.695454429647043,0.0029815854387406,15673.775390625,410924.33824771945,600.204849120104,11.513046319173236,0.0016893465206609,47116.9609375,108253.68199247087,336.51129925515306,12.961344288336061,0.0034201638926112,12277.4833984375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194643-V-BIN1-E-060-001.fit,11,64350.7265625,60082.90784143517,2460082.907841435,NaN,NaN,0,NaN,1.44437918273,-35,60,NaN,NaN,936939.9042177051,888.6210058296459,10.619728644752641,0.0011840205435234,63565.3515625,684146.4652456321,763.9153450177621,11.04,0.0012116525855844,46619.4921875,405144.92398958886,596.4280170516965,11.83,0.0015971749124167,27701.80859375,513496.4431787359,666.2442870763992,11.06,0.0014077929606564,36539.91796875,501151.3893833341,659.3660001932536,11.08,0.0014275666244605,35111.41015625,391750.684117478,586.826365484398,11.85,0.0016251711331989,27000.044921875,483258.69239976705,648.271765021769,11.31,0.0014554946744376,33278.16015625,1004325.1015980857,919.6920090227109,10.544322191138974,0.001153328652836,64350.7265625,137471.44122513037,371.7951268737304,12.70347677016842,0.0029901265552082,10356.1923828125,405898.45367114706,596.9804489678652,11.527964492523768,0.0016995589709325,29306.990234375,107461.49361845836,334.921455963985,12.970875803108976,0.0034287726990575,7305.59814453125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194757-V-BIN1-E-060-002.fit,12,64449.66015625,60082.908707060385,2460082.9087070604,NaN,NaN,0,NaN,1.43978536687,-35,60,NaN,NaN,894922.6594941211,869.0431473982819,10.669782676606486,0.0012053464774029,62928.11328125,673839.4757471232,758.8294889557415,11.04,0.001221989991659,64449.66015625,404990.2018080319,596.0108064741856,11.83,0.0015966677937414,45691.375,514179.2263664001,666.4804739249545,11.06,0.0014064228341565,48476.30078125,506519.9471295787,661.8000848299785,11.08,0.0014176565325013,59141.38671875,395933.13481150643,589.9151373339927,11.85,0.0016164738264792,45342.89453125,484140.93230216636,648.7090744527077,11.31,0.0014538235305159,47623.921875,948386.687487893,894.5093586974094,10.606782815179221,0.0011789930166355,64350.7265625,138640.44128712223,371.5811632248902,12.694521607936913,0.0029642410440964,16254.3388671875,405864.0264507487,596.4858557971103,11.528295039175445,0.0016983816401304,37643.56640625,108545.73885641804,336.8190267626991,12.960214490131628,0.0034141845130871,11871.048828125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-194912-V-BIN1-E-060-003.fit,13,64794.9765625,60082.909565972164,2460082.909565972,NaN,NaN,0,NaN,1.43527369296,-35,60,NaN,NaN,910976.906248332,876.7227727899067,10.652309003355237,0.0011968138027999,63676.12890625,687988.7962853285,765.7753243490473,11.04,0.0012078214422357,61386.8828125,405304.25702876435,596.1969989085899,11.83,0.0015959295467849,34398.11328125,514396.97115467594,666.770946195623,11.06,0.0014064401846031,41250.15625,503893.9432696728,660.2497751548398,11.08,0.0014217036289388,42800.734375,390036.4425119782,586.0391717723561,11.85,0.0016301205199973,35343.859375,483011.5455704735,647.5860573135101,11.31,0.0014546996198147,38584.2421875,976813.2116758565,907.30272118307,10.576548609811653,0.0011651900268507,64794.9765625,136790.20481672988,369.8301387538478,12.710939922585595,0.0029890155922211,11521.5419921875,404504.42162194056,595.3828030539423,11.53376923906788,0.0017004169393763,30798.88671875,108158.81032393921,335.2663236832288,12.965922667970698,0.0034106057099161,9492.2861328125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195026-V-BIN1-E-060-004.fit,14,66175.828125,60082.91043148143,2460082.9104314814,NaN,NaN,0,NaN,1.43077117122,-35,60,NaN,NaN,883813.535967297,863.8028482771941,10.68682078796828,0.0012108281077461,63676.12890625,676381.5372730403,760.3729947432635,11.04,0.0012198748058032,66175.828125,405913.63581446663,596.7983157749736,11.83,0.0015951414511188,43964.15234375,519131.5493313057,669.2767477516671,11.06,0.001398855428426,53858.7421875,509690.6325109163,664.3459735934385,11.08,0.0014142594610044,53876.95703125,394363.1708798382,588.8524340960539,11.85,0.0016199828161706,45732.26171875,483676.8418586778,647.7243038765298,11.31,0.001453009936871,44760.16796875,952127.4390079888,896.1280875335622,10.605984706884456,0.0011766173090421,64794.9765625,137911.65972290203,370.2768082291718,12.703719946914214,0.002969042903304,16537.232421875,406820.1919233425,597.2828899211191,11.529216158769504,0.0016965220302124,40827.9296875,107990.06067489568,336.6815515912059,12.96926294669651,0.003429687372605,11753.953125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195140-V-BIN1-E-060-005.fit,15,64794.9765625,60082.91128253471,2460082.9112825347,NaN,NaN,0,NaN,1.42638565038,-35,60,NaN,NaN,904611.5651274453,874.0068153409019,10.659849819960785,0.0012005264636107,63373.2265625,687542.6056557926,766.2034157507917,11.04,0.001209280109442,58385.91015625,404958.50105296273,596.4985051884056,11.83,0.0015980983403849,34739.4609375,516576.1210530622,668.0757481864745,11.06,0.0014032498989802,46123.87109375,502716.9339966216,659.8257605691798,11.08,0.0014241155157615,44133.2578125,389128.4691719232,585.9462772088258,11.85,0.0016336625006077,36354.75390625,483510.684768121,647.7220543771322,11.31,0.0014535038810263,39764.3125,963560.5830481161,901.2864996215822,10.591307594953149,0.0011714702201487,64794.9765625,135940.49436902988,369.80574298610736,12.717633046890281,0.0030068291519135,13181.158203125,405028.7965219137,596.2685637202945,11.532290405437841,0.0017008045932453,35400.70703125,108092.94060462104,335.32718339867705,12.96651182999419,0.0034132707228226,9530.30078125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195254-V-BIN1-E-060-001.fit,16,66942.96875,60082.912146411836,2460082.912146412,NaN,NaN,0,NaN,1.42197887555,-35,60,NaN,NaN,899573.9257827379,871.346614811469,10.671233416436312,0.0012018908750439,63803.6640625,691703.9448864976,767.8651038698365,11.04,0.0012046144085764,66942.96875,408317.0733828857,598.1387392022223,11.83,0.001589318024022,41317.30859375,519001.8186419246,669.1717855739663,11.06,0.0013989855688485,50501.8359375,505736.2314420768,661.1443797082375,11.08,0.0014184461153502,49442.6796875,390694.35879312747,586.1316378579783,11.85,0.0016276340851319,34130.7890625,483640.3187377802,647.6499170100745,11.31,0.0014529528209985,46455.09375,963386.3025898495,901.2669182061153,10.596824395579794,0.0011706245112196,64794.9765625,137480.69642419036,370.3366109919554,12.710721255058772,0.0029781802153007,14033.453125,407279.65615550143,597.412800820227,11.53159377021218,0.0016947030577173,38861.5078125,108157.23622086839,336.0639028793803,12.971186610999627,0.0034182312241727,9878.8984375
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195409-V-BIN1-E-060-002.fit,17,63994.69140625,60082.91300752293,2460082.913007523,NaN,NaN,0,NaN,1.4176301919,-35,60,NaN,NaN,900984.279869793,872.2342229575636,10.664161374673121,0.0012022768025698,63492.2578125,684019.8184726161,764.3626059093825,11.04,0.0012125859382835,63762.1015625,406391.73104561644,597.0775696248614,11.83,0.0015940112142406,41226.22265625,519152.2218375246,670.0213669496044,11.06,0.00140035502581,46961.30078125,502205.2853277541,659.4752316767642,11.08,0.0014248086307187,49544.5234375,389775.07827172446,585.6998748627365,11.85,0.0016302690704627,35039.90234375,482749.6823834477,646.7520686463923,11.31,0.0014536149948433,44395.9140625,973622.4617003539,905.8759633258244,10.579977947119309,0.0011667461547188,63994.69140625,136717.46534596503,369.60405962498766,12.711394413038086,0.0029888162260497,14295.7373046875,407185.06678416487,597.5847288724449,11.526474803187018,0.0016961097867582,37316.8828125,108740.01689337632,336.02882821530983,12.959980918314677,0.0034004419253291,9990.2431640625
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195522-V-BIN1-E-060-003.fit,18,63994.69140625,60082.91385069443,2460082.9138506944,NaN,NaN,0,NaN,1.41341075999,-35,60,NaN,NaN,881654.080654533,863.0652886784685,10.682451556406845,0.001213223257649,63492.2578125,671418.8549335633,757.4133008197514,11.04,0.0012241055591745,63762.1015625,405025.3766464222,595.9280224260284,11.83,0.0015963076414018,44389.07421875,519153.25126822817,669.6235974341728,11.06,0.0013995214436089,50982.77734375,501403.874078386,658.9419035921122,11.08,0.0014259311075958,55995.3984375,389091.97183511074,585.2394609753512,11.85,0.001631846263599,39232.81640625,483785.0198568569,647.5713626669527,11.31,0.001452342470137,45627.8046875,954386.5007273373,897.4987164641951,10.596386391646988,0.0011768160219251,63994.69140625,135803.40231437207,369.12101784116425,12.713420484864454,0.0030046340904158,16197.900390625,405352.8486795756,596.0707960435057,11.526114037680802,0.0016995409996443,38372.3125,108810.46257939952,337.2010841378835,12.95402046978393,0.0034100353602365,10795.9423828125
calibrated-T17-msp_jpalmerio-RR_Nor-20230518-195637-V-BIN1-E-060-004.fit,19,64308.1875,60082.91471655108,2460082.914716551,NaN,NaN,0,NaN,1.40912307308,-35,60,NaN,NaN,882078.068650015,863.2106665256775,10.691391004736111,0.0012116204713465,62831.59765625,687562.3614936726,765.5486465599782,11.04,0.0012082125805866,64308.1875,407130.0328705076,597.3025057758139,11.83,0.0015917216856243,38989.83984375,522289.5629086678,671.5960726017288,11.06,0.0013952179244068,44121.44921875,502625.2338307987,659.6322788556198,11.08,0.0014239577665648,48122.08203125,390326.90104649885,585.9175764387217,11.85,0.0016285706653173,38336.53125,485937.82401006384,649.5699756960012,11.31,0.0014503721486362,43845.80078125,974113.5889580374,905.9793299070707,10.583634560736225,0.0011657424108139,63994.69140625,139135.7615461349,372.20687504873854,12.696561641729069,0.0029585310412072,13077.60546875,407449.66890645924,598.0227417055326,11.529973642226562,0.0016957783050642,34771.80078125,109606.35197257594,337.4816354172748,12.955569256882754,0.0033883045593374,10548.7626953125
